epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
120,3.809935876083374,1.9704535365104676,57.18,81.0,2.188e-05
121,3.807880562210083,1.9538318659067153,57.5,80.95,2.1979e-05
122,3.8120374028205872,2.024143259644508,57.02,80.25,2.2078e-05
123,3.794303005218506,1.9499131950139998,57.59,80.34,2.2177e-05
124,3.7890172820568084,1.8883033802509308,58.27,81.48,2.2276e-05
125,3.7827736592531203,1.9036837477087976,57.94,81.4,2.2375000000000002e-05
126,3.802542956495285,1.9486487797498704,57.48,80.46,2.2474000000000002e-05
127,3.7952506480932238,1.9101715268492698,58.51,81.65,2.2573000000000002e-05
128,3.773216713666916,1.9037751074433327,57.66,81.01,2.2672000000000002e-05
129,3.7871014319896696,1.8866781442165375,58.65,81.44,2.2771000000000003e-05
130,3.7636716397047043,1.8530163803100586,58.61,81.9,2.2870000000000003e-05
131,3.7791998675584795,1.9332552511692047,58.08,80.94,2.2969000000000003e-05
132,3.755627141833305,1.8736353428363801,59.11,81.81,2.3068e-05
133,3.7570042454481123,1.8985892407298088,58.68,81.29,2.3167e-05
134,3.7674312425613405,1.939088088274002,58.49,81.3,2.3266e-05
135,3.7567190227746963,1.9467216684818267,57.94,81.18,2.3365e-05
136,3.7498672094106675,1.8737612608671188,58.59,81.71,2.3464e-05
137,3.7494975250959395,1.8708072731494902,58.9,81.41,2.3563e-05
138,3.7505594646930693,1.900072938144207,58.97,81.63,2.3662e-05
139,3.731953172206879,1.9655243362784385,58.44,81.1,2.3761e-05
140,3.730248221731186,1.9228187355995179,58.71,81.31,2.386e-05
141,3.718518360042572,1.8797793343067168,59.49,81.63,2.3959e-05
142,3.717273628163338,1.896236857175827,59.23,81.84,2.4058e-05
143,3.725049347448349,1.8703527403473854,59.73,82.13,2.4157e-05
144,3.7167532244443895,1.9400822122097015,59.01,81.79,2.4256e-05
145,3.7489536468505857,1.857975686132908,59.58,81.77,2.4355e-05
146,3.7072071102380755,1.8638794828653336,59.79,82.0,2.4454e-05
147,3.70137078974247,1.8727170592546463,58.95,81.84,2.4553e-05
148,3.7062195639848707,1.8885321303606033,59.27,81.6,2.4652e-05
149,3.7146986746549606,1.9783953662514686,58.1,81.33,2.4751e-05
150,3.6972585178613664,1.9160781056880951,59.15,81.62,2.485e-05
151,3.7010958345890046,1.8605468325018883,59.89,82.22,2.4949e-05
152,3.6881916215419768,1.8571249684095383,59.72,82.17,2.5048e-05
153,3.6857286931276323,1.880050607919693,59.26,82.11,2.5147e-05
154,3.6881572583436966,1.8969430341720581,59.22,81.56,2.5246000000000002e-05
155,3.6821982989549635,1.8832668824195862,59.68,82.57,2.5345000000000002e-05
156,3.6846182027101517,1.8311811114549637,60.49,82.45,2.5444000000000002e-05
157,3.683084120297432,1.8075402144193649,60.26,82.49,2.5543000000000003e-05
158,3.6597680810689925,1.8236212610006333,60.02,82.65,2.5642000000000003e-05
159,3.6783116491556167,1.7920081430077552,60.94,82.74,2.5741000000000003e-05
160,3.662713274884224,1.811947543144226,61.11,82.85,2.5840000000000003e-05
161,3.672762720274925,1.8539676964879035,60.43,82.29,2.5939000000000004e-05
162,3.6599904250144957,1.8082818310260773,60.85,82.85,2.6038000000000004e-05
163,3.66789893283844,1.8092955556511878,60.86,82.2,2.6137000000000004e-05
164,3.6472684977293013,1.816811285495758,60.38,82.37,2.6235999999999997e-05
165,3.6548620639801026,1.8750681264400482,60.69,82.06,2.6334999999999998e-05
166,3.6431541585683824,1.8674643932580948,60.36,82.18,2.6433999999999998e-05
167,3.6472997391223907,1.8287937449216842,60.82,82.41,2.6532999999999998e-05
168,3.651908389043808,1.9259995356798172,60.24,81.77,2.6632e-05
169,3.64093401157856,1.802008492410183,60.56,82.88,2.6731e-05
170,3.633623111462593,1.8270332726240157,60.58,82.56,2.683e-05
171,3.6277659959316253,1.8493853182792663,60.44,82.54,2.6929e-05
172,3.63480494248867,1.8900426199436189,60.42,81.94,2.7028e-05
173,3.6276524643659593,1.8089881427288055,61.13,82.74,2.7127e-05
174,3.612909145140648,1.7953285155892371,61.49,83.27,2.7226e-05
175,3.6190371895074844,1.8140466244220734,61.0,82.59,2.7325e-05
176,3.6102159347057343,1.877724638581276,60.29,82.3,2.7424e-05
177,3.6146699808597567,1.8145338304638863,61.11,82.38,2.7523e-05
